priority_score,priority_label,detection_id,image_id,file_name,timestamp,category,confidence,is_military,zone_id,zone_name,risk_level,image_latitude,image_longitude,nearest_active_military_zone_id,nearest_active_military_zone_name,nearest_active_military_zone_risk_level,nearest_active_military_zone_distance_km,near_active_military_zone_25km,bbox,date,time,coordinates,country,resolution,source,num_ships,ship_types,cloud_cover,url,bbox_x,bbox_y,bbox_width,bbox_height,bbox_area,bbox_aspect_ratio,score_military,score_risk_level,score_confidence,score_strategic_type,score_active_zone_25km
100,Critique,DET-024-00079,IMG-024,satellite_024.jpg,2026-10-15T16:55:22Z,Destroyer,0.94,True,ZONE-012,Détroit d'Ormuz,Critical,25.0,56.0,MIL-011,Zone militaire 12 - Détroit d'Ormuz,High,0.0,True,"0.32678184216185474,0.4546155876801846,0.023174988896650546,0.17212524455103595",2026-10-15,16:55:22,"25.0,56.0",International,0.5m,Sentinel-2,3,"Porte-avions, Navire de soutien, Destroyer",25.9,https://example.com/satellite_images/satellite_024.jpg,0.32678184216185474,0.4546155876801846,0.023174988896650546,0.17212524455103595,0.003989000631303518,0.1346402670747059,35,25,15,15,10
93,Critique,DET-049-00136,IMG-049,satellite_049.jpg,2026-04-10T18:36:32Z,Croiseur,0.82,True,ZONE-012,Détroit d'Ormuz,Critical,25.0,56.0,MIL-011,Zone militaire 12 - Détroit d'Ormuz,High,0.0,True,"0.203954364621882,0.4824674997058284,0.03777740485307332,0.11634747415640136",2026-04-10,18:36:32,"25.0,56.0",International,10m,Maxar,3,"Destroyer, Croiseur, Pétrolier",38.2,https://example.com/satellite_images/satellite_049.jpg,0.203954364621882,0.4824674997058284,0.03777740485307332,0.11634747415640136,0.004395305634838859,0.3246946710874929,35,25,8,15,10
93,Critique,DET-049-00135,IMG-049,satellite_049.jpg,2026-04-10T18:36:32Z,Destroyer,0.79,True,ZONE-012,Détroit d'Ormuz,Critical,25.0,56.0,MIL-011,Zone militaire 12 - Détroit d'Ormuz,High,0.0,True,"0.44862120044875353,0.5613941074246699,0.040115373748133204,0.10737225114457208",2026-04-10,18:36:32,"25.0,56.0",International,10m,Maxar,3,"Destroyer, Croiseur, Pétrolier",38.2,https://example.com/satellite_images/satellite_049.jpg,0.44862120044875353,0.5613941074246699,0.040115373748133204,0.10737225114457208,0.004307277984842932,0.3736102514430809,35,25,8,15,10
93,Critique,DET-024-00077,IMG-024,satellite_024.jpg,2026-10-15T16:55:22Z,Porte-avions,0.78,True,ZONE-012,Détroit d'Ormuz,Critical,25.0,56.0,MIL-011,Zone militaire 12 - Détroit d'Ormuz,High,0.0,True,"0.625965134619561,0.3602752853300345,0.22432878327871675,0.10189461919369881",2026-10-15,16:55:22,"25.0,56.0",International,0.5m,Sentinel-2,3,"Porte-avions, Navire de soutien, Destroyer",25.9,https://example.com/satellite_images/satellite_024.jpg,0.625965134619561,0.3602752853300345,0.22432878327871675,0.10189461919369881,0.022857895946370634,2.2015763447947534,35,25,8,15,10
93,Critique,DET-008-00029,IMG-008,satellite_008.jpg,2026-10-21T20:26:19Z,Porte-avions,0.76,True,ZONE-012,Détroit d'Ormuz,Critical,25.0,56.0,MIL-011,Zone militaire 12 - Détroit d'Ormuz,High,0.0,True,"0.2842690233641742,0.7304818210468121,0.032788436360300946,0.23106391715708882",2026-10-21,20:26:19,"25.0,56.0",International,5m,WorldView-3,3,"Chalutier, Porte-avions, Navire de guerre",43.8,https://example.com/satellite_images/satellite_008.jpg,0.2842690233641742,0.7304818210468121,0.032788436360300946,0.23106391715708882,0.007576224542867056,0.14190201898987856,35,25,8,15,10
90,Critique,DET-055-00155,IMG-055,satellite_055.jpg,2026-12-17T13:07:30Z,Porte-avions,0.98,True,ZONE-004,Détroit de Malacca,Critical,3.0,101.0,MIL-001,Zone militaire 2 - Port de Shanghai,Critical,3801.407,False,"0.35320406765581414,0.00496849374844981,0.03600246735428925,0.16534004506601335",2026-12-17,13:07:30,"3.0,101.0",International,10m,Landsat-8,4,"Navire civil, Navire de soutien, Porte-avions, Sous-marin",44.5,https://example.com/satellite_images/satellite_055.jpg,0.35320406765581414,0.00496849374844981,0.03600246735428925,0.16534004506601335,0.005952649574845858,0.2177480194826061,35,25,15,15,0
90,Critique,DET-073-00197,IMG-073,satellite_073.jpg,2026-06-29T00:59:57Z,Sous-marin,0.98,True,ZONE-001,Port militaire de Toulon,High,43.12,5.9,MIL-010,Zone militaire 11 - Port militaire de Toulon,High,0.0,True,"0.20878914855684905,0.7987281941869028,0.22081375662974628,0.1413696932200333",2026-06-29,00:59:57,"43.12,5.9",France,5m,Landsat-8,5,"Navire civil, Navire de soutien, Sous-marin, Destroyer, Navire de guerre",46.8,https://example.com/satellite_images/satellite_073.jpg,0.20878914855684905,0.7987281941869028,0.22081375662974628,0.1413696932200333,0.031216373033510325,1.5619596506166507,35,15,15,15,10
90,Critique,DET-034-00108,IMG-034,satellite_034.jpg,2026-06-24T03:02:12Z,Sous-marin,0.97,True,ZONE-007,Mer de Chine Méridionale,Critical,15.0,110.0,MIL-001,Zone militaire 2 - Port de Shanghai,Critical,2147.87,False,"0.5893621497798351,0.07395782608377299,0.225060247520035,0.16433212961701338",2026-06-24,03:02:12,"15.0,110.0",International,5m,Maxar,4,"Sous-marin, Porte-avions, Chalutier, Bâtiment de débarquement",8.8,https://example.com/satellite_images/satellite_034.jpg,0.5893621497798351,0.07395782608377299,0.225060247520035,0.16433212961701338,0.03698462976709951,1.3695450064728816,35,25,15,15,0
90,Critique,DET-022-00073,IMG-022,satellite_022.jpg,2026-07-08T09:39:17Z,Destroyer,0.96,True,ZONE-004,Détroit de Malacca,Critical,3.0,101.0,MIL-001,Zone militaire 2 - Port de Shanghai,Critical,3801.407,False,"0.007426039286338959,0.5754112996789076,0.2975595473921757,0.13431398070131034",2026-07-08,09:39:17,"3.0,101.0",International,5m,PlanetScope,4,"Corvette, Pétrolier, Destroyer, Navire civil",4.3,https://example.com/satellite_images/satellite_022.jpg,0.007426039286338959,0.5754112996789076,0.2975595473921757,0.13431398070131034,0.03996640730592333,2.215402639684201,35,25,15,15,0
90,Critique,DET-055-00156,IMG-055,satellite_055.jpg,2026-12-17T13:07:30Z,Sous-marin,0.93,True,ZONE-004,Détroit de Malacca,Critical,3.0,101.0,MIL-001,Zone militaire 2 - Port de Shanghai,Critical,3801.407,False,"0.01995624914398482,0.5150819764429005,0.1787092030642219,0.05602942196157225",2026-12-17,13:07:30,"3.0,101.0",International,10m,Landsat-8,4,"Navire civil, Navire de soutien, Porte-avions, Sous-marin",44.5,https://example.com/satellite_images/satellite_055.jpg,0.01995624914398482,0.5150819764429005,0.1787092030642219,0.05602942196157225,0.010012973346901589,3.1895599991516868,35,25,15,15,0
90,Critique,DET-033-00103,IMG-033,satellite_033.jpg,2026-01-13T19:16:01Z,Destroyer,0.92,True,ZONE-004,Détroit de Malacca,Critical,3.0,101.0,MIL-001,Zone militaire 2 - Port de Shanghai,Critical,3801.407,False,"0.338556749868794,0.002159495546985646,0.035008578373303165,0.24167505493479713",2026-01-13,19:16:01,"3.0,101.0",International,5m,Maxar,5,"Destroyer, Frégate, Navire de guerre, Corvette, Cargo",39.2,https://example.com/satellite_images/satellite_033.jpg,0.338556749868794,0.002159495546985646,0.035008578373303165,0.24167505493479713,0.008460700101557193,0.14485805489006023,35,25,15,15,0
90,Critique,DET-034-00109,IMG-034,satellite_034.jpg,2026-06-24T03:02:12Z,Porte-avions,0.92,True,ZONE-007,Mer de Chine Méridionale,Critical,15.0,110.0,MIL-001,Zone militaire 2 - Port de Shanghai,Critical,2147.87,False,"0.3858533857715962,0.6840910074017207,0.18489203994311473,0.2573964049058609",2026-06-24,03:02:12,"15.0,110.0",International,5m,Maxar,4,"Sous-marin, Porte-avions, Chalutier, Bâtiment de débarquement",8.8,https://example.com/satellite_images/satellite_034.jpg,0.3858533857715962,0.6840910074017207,0.18489203994311473,0.2573964049058609,0.04759054637706857,0.7183163261768802,35,25,15,15,0
90,Critique,DET-067-00182,IMG-067,satellite_067.jpg,2026-10-11T21:36:25Z,Sous-marin,0.92,True,ZONE-001,Port militaire de Toulon,High,43.12,5.9,MIL-010,Zone militaire 11 - Port militaire de Toulon,High,0.0,True,"0.5461343851518093,0.5809321295600124,0.2878815628479139,0.11397835973279102",2026-10-11,21:36:25,"43.12,5.9",France,5m,Sentinel-2,5,"Destroyer, Pétrolier, Sous-marin, Navire de guerre, Frégate",15.5,https://example.com/satellite_images/satellite_067.jpg,0.5461343851518093,0.5809321295600124,0.2878815628479139,0.11397835973279102,0.03281226833071762,2.5257563235935194,35,15,15,15,10
90,Critique,DET-095-00241,IMG-095,satellite_095.jpg,2026-10-03T00:56:44Z,Croiseur,0.92,True,ZONE-004,Détroit de Malacca,Critical,3.0,101.0,MIL-001,Zone militaire 2 - Port de Shanghai,Critical,3801.407,False,"0.7940425021708499,0.33013717237215845,0.09003553226558528,0.046649071310351065",2026-10-03,00:56:44,"3.0,101.0",International,0.5m,Landsat-8,2,"Navire de soutien, Croiseur",40.9,https://example.com/satellite_images/satellite_095.jpg,0.7940425021708499,0.33013717237215845,0.09003553226558528,0.046649071310351065,0.004200073965122702,1.9300605507575688,35,25,15,15,0
90,Critique,DET-012-00046,IMG-012,satellite_012.jpg,2026-07-19T23:00:19Z,Croiseur,0.91,True,ZONE-007,Mer de Chine Méridionale,Critical,15.0,110.0,MIL-001,Zone militaire 2 - Port de Shanghai,Critical,2147.87,False,"0.3766665371054361,0.05659999521279566,0.15896897982668048,0.040146437228905846",2026-07-19,23:00:19,"15.0,110.0",International,5m,PlanetScope,3,"Pétrolier, Croiseur, Navire civil",43.9,https://example.com/satellite_images/satellite_012.jpg,0.3766665371054361,0.05659999521279566,0.15896897982668048,0.040146437228905846,0.006382038169955028,3.959728205027897,35,25,15,15,0
90,Critique,DET-006-00022,IMG-006,satellite_006.jpg,2026-01-04T02:10:50Z,Porte-avions,0.89,True,ZONE-004,Détroit de Malacca,Critical,3.0,101.0,MIL-001,Zone militaire 2 - Port de Shanghai,Critical,3801.407,False,"0.49920998507995606,0.034420613608061236,0.18821690254546522,0.08619328584968004",2026-01-04,02:10:50,"3.0,101.0",International,1m,Sentinel-2,4,"Destroyer, Sous-marin, Navire de soutien, Porte-avions",10.0,https://example.com/satellite_images/satellite_006.jpg,0.49920998507995606,0.034420613608061236,0.18821690254546522,0.08619328584968004,0.016223033282842653,2.1836608349484785,35,25,15,15,0
90,Critique,DET-069-00189,IMG-069,satellite_069.jpg,2026-04-18T17:08:26Z,Porte-avions,0.89,True,ZONE-007,Mer de Chine Méridionale,Critical,15.0,110.0,MIL-001,Zone militaire 2 - Port de Shanghai,Critical,2147.87,False,"0.17619716775696032,0.09105018219148749,0.11671306859073968,0.15554288464417426",2026-04-18,17:08:26,"15.0,110.0",International,0.5m,Landsat-8,4,"Chalutier, Navire civil, Navire de soutien, Porte-avions",18.1,https://example.com/satellite_images/satellite_069.jpg,0.17619716775696032,0.09105018219148749,0.11671306859073968,0.15554288464417426,0.018153887364277022,0.7503594192542904,35,25,15,15,0
90,Critique,DET-086-00221,IMG-086,satellite_086.jpg,2026-06-11T18:05:05Z,Croiseur,0.89,True,ZONE-004,Détroit de Malacca,Critical,3.0,101.0,MIL-001,Zone militaire 2 - Port de Shanghai,Critical,3801.407,False,"0.7350971347670829,0.6701129043484335,0.23366146790518463,0.2683259590041129",2026-06-11,18:05:05,"3.0,101.0",International,10m,Maxar,3,"Pétrolier, Sous-marin, Croiseur",19.4,https://example.com/satellite_images/satellite_086.jpg,0.7350971347670829,0.6701129043484335,0.23366146790518463,0.2683259590041129,0.06269743745796741,0.8708120107812718,35,25,15,15,0
90,Critique,DET-014-00050,IMG-014,satellite_014.jpg,2026-05-04T09:01:54Z,Destroyer,0.87,True,ZONE-008,Golfe Persique,Critical,26.0,55.0,MIL-011,Zone militaire 12 - Détroit d'Ormuz,High,149.788,False,"0.4977062583112307,0.7712065476226733,0.13994453559988626,0.07971502089665419",2026-05-04,09:01:54,"26.0,55.0",International,0.5m,PlanetScope,4,"Frégate, Navire de guerre, Destroyer, Navire de soutien",29.3,https://example.com/satellite_images/satellite_014.jpg,0.4977062583112307,0.7712065476226733,0.13994453559988626,0.07971502089665419,0.0111556815797175,1.7555604204296211,35,25,15,15,0
90,Critique,DET-062-00167,IMG-062,satellite_062.jpg,2026-11-23T04:44:28Z,Croiseur,0.87,True,ZONE-007,Mer de Chine Méridionale,Critical,15.0,110.0,MIL-001,Zone militaire 2 - Port de Shanghai,Critical,2147.87,False,"0.080098122294734,0.25173457336538924,0.15979590755732034,0.020394662887209786",2026-11-23,04:44:28,"15.0,110.0",International,10m,Sentinel-2,5,"Sous-marin, Navire de guerre, Frégate, Navire civil, Croiseur",31.1,https://example.com/satellite_images/satellite_062.jpg,0.080098122294734,0.25173457336538924,0.15979590755732034,0.020394662887209786,0.003258983665387287,7.835182588751394,35,25,15,15,0
85,Critique,DET-008-00030,IMG-008,satellite_008.jpg,2026-10-21T20:26:19Z,Navire de guerre,1.0,True,ZONE-012,Détroit d'Ormuz,Critical,25.0,56.0,MIL-011,Zone militaire 12 - Détroit d'Ormuz,High,0.0,True,"0.33477080654514024,0.5309057430489469,0.20557889114768502,0.06668855948939102",2026-10-21,20:26:19,"25.0,56.0",International,5m,WorldView-3,3,"Chalutier, Porte-avions, Navire de guerre",43.8,https://example.com/satellite_images/satellite_008.jpg,0.33477080654514024,0.5309057430489469,0.20557889114768502,0.06668855948939102,0.013709760112065433,3.082671041655788,35,25,15,0,10
83,Haute,DET-083-00209,IMG-083,satellite_083.jpg,2026-04-16T20:48:47Z,Croiseur,0.83,True,ZONE-007,Mer de Chine Méridionale,Critical,15.0,110.0,MIL-001,Zone militaire 2 - Port de Shanghai,Critical,2147.87,False,"0.3391194543831979,0.7338718874640787,0.19457626097348718,0.1232055928333741",2026-04-16,20:48:47,"15.0,110.0",International,1m,Landsat-8,4,"Destroyer, Croiseur, Pétrolier, Bâtiment de débarquement",4.3,https://example.com/satellite_images/satellite_083.jpg,0.3391194543831979,0.7338718874640787,0.19457626097348718,0.1232055928333741,0.0239728835845398,1.5792810740064074,35,25,8,15,0
83,Haute,DET-086-00220,IMG-086,satellite_086.jpg,2026-06-11T18:05:05Z,Sous-marin,0.83,True,ZONE-004,Détroit de Malacca,Critical,3.0,101.0,MIL-001,Zone militaire 2 - Port de Shanghai,Critical,3801.407,False,"0.0034373742936605113,0.6237666864413267,0.17459106147265993,0.11247110770854729",2026-06-11,18:05:05,"3.0,101.0",International,10m,Maxar,3,"Pétrolier, Sous-marin, Croiseur",19.4,https://example.com/satellite_images/satellite_086.jpg,0.0034373742936605113,0.6237666864413267,0.17459106147265993,0.11247110770854729,0.019636450079841137,1.5523192136160655,35,25,8,15,0
83,Haute,DET-083-00208,IMG-083,satellite_083.jpg,2026-04-16T20:48:47Z,Destroyer,0.82,True,ZONE-007,Mer de Chine Méridionale,Critical,15.0,110.0,MIL-001,Zone militaire 2 - Port de Shanghai,Critical,2147.87,False,"0.585742952377722,0.09401741911592093,0.03109524442200889,0.19824918063187233",2026-04-16,20:48:47,"15.0,110.0",International,1m,Landsat-8,4,"Destroyer, Croiseur, Pétrolier, Bâtiment de débarquement",4.3,https://example.com/satellite_images/satellite_083.jpg,0.585742952377722,0.09401741911592093,0.03109524442200889,0.19824918063187233,0.006164606728211061,0.15684929603693776,35,25,8,15,0
83,Haute,DET-080-00205,IMG-080,satellite_080.jpg,2026-05-10T18:25:00Z,Sous-marin,0.81,True,ZONE-004,Détroit de Malacca,Critical,3.0,101.0,MIL-001,Zone militaire 2 - Port de Shanghai,Critical,3801.407,False,"0.6892512753993596,0.6822881526185132,0.21382928115792887,0.2968897972038414",2026-05-10,18:25:00,"3.0,101.0",International,0.5m,WorldView-3,2,"Sous-marin, Navire de guerre",43.7,https://example.com/satellite_images/satellite_080.jpg,0.6892512753993596,0.6822881526185132,0.21382928115792887,0.2968897972038414,0.06348373191922069,0.7202311536866858,35,25,8,15,0
83,Haute,DET-085-00218,IMG-085,satellite_085.jpg,2026-05-05T06:59:15Z,Croiseur,0.8,True,ZONE-013,Base navale de Pearl Harbor,High,21.4,-157.9,MIL-004,Zone militaire 5 - Base navale de Pearl Harbor,Critical,0.0,True,"0.551325712351104,0.17576108810409902,0.09884571632063065,0.12777730654243724",2026-05-05,06:59:15,"21.4,-157.9",USA,5m,Maxar,5,"Corvette, Bâtiment de débarquement, Cargo, Porte-avions, Croiseur",43.1,https://example.com/satellite_images/satellite_085.jpg,0.551325712351104,0.17576108810409902,0.09884571632063065,0.12777730654243724,0.012630239394708014,0.7735780241055725,35,15,8,15,10
83,Haute,DET-091-00236,IMG-091,satellite_091.jpg,2026-11-19T17:22:24Z,Destroyer,0.8,True,ZONE-004,Détroit de Malacca,Critical,3.0,101.0,MIL-001,Zone militaire 2 - Port de Shanghai,Critical,3801.407,False,"0.6769883488430862,0.4679847348890591,0.20095165648028807,0.281479721430403",2026-11-19,17:22:24,"3.0,101.0",International,5m,Maxar,4,"Chalutier, Bâtiment de débarquement, Pétrolier, Destroyer",2.5,https://example.com/satellite_images/satellite_091.jpg,0.6769883488430862,0.4679847348890591,0.20095165648028807,0.281479721430403,0.056563816287049526,0.7139116646098222,35,25,8,15,0
83,Haute,DET-027-00088,IMG-027,satellite_027.jpg,2026-11-08T02:42:32Z,Destroyer,0.77,True,ZONE-007,Mer de Chine Méridionale,Critical,15.0,110.0,MIL-001,Zone militaire 2 - Port de Shanghai,Critical,2147.87,False,"0.3350963786742587,0.7150375289369859,0.07572092993357028,0.16831752685581566",2026-11-08,02:42:32,"15.0,110.0",International,1m,Landsat-8,4,"Bâtiment de débarquement, Pétrolier, Destroyer, Navire civil",40.0,https://example.com/satellite_images/satellite_027.jpg,0.3350963786742587,0.7150375289369859,0.07572092993357028,0.16831752685581566,0.012745159657641052,0.4498695492266496,35,25,8,15,0
83,Haute,DET-062-00163,IMG-062,satellite_062.jpg,2026-11-23T04:44:28Z,Sous-marin,0.76,True,ZONE-007,Mer de Chine Méridionale,Critical,15.0,110.0,MIL-001,Zone militaire 2 - Port de Shanghai,Critical,2147.87,False,"0.7834422216605694,0.2658813236441559,0.18011315040690606,0.2323300503113541",2026-11-23,04:44:28,"15.0,110.0",International,10m,Sentinel-2,5,"Sous-marin, Navire de guerre, Frégate, Navire civil, Croiseur",31.1,https://example.com/satellite_images/satellite_062.jpg,0.7834422216605694,0.2658813236441559,0.18011315040690606,0.2323300503113541,0.04184569729577297,0.7752468962389056,35,25,8,15,0
83,Haute,DET-073-00198,IMG-073,satellite_073.jpg,2026-06-29T00:59:57Z,Destroyer,0.75,True,ZONE-001,Port militaire de Toulon,High,43.12,5.9,MIL-010,Zone militaire 11 - Port militaire de Toulon,High,0.0,True,"0.496493573114793,0.6323439849485565,0.05595307761698895,0.24142294680040527",2026-06-29,00:59:57,"43.12,5.9",France,5m,Landsat-8,5,"Navire civil, Navire de soutien, Sous-marin, Destroyer, Navire de guerre",46.8,https://example.com/satellite_images/satellite_073.jpg,0.496493573114793,0.6323439849485565,0.05595307761698895,0.24142294680040527,0.01350835688084527,0.23176370911936456,35,15,8,15,10
80,Haute,DET-016-00055,IMG-016,satellite_016.jpg,2026-12-12T15:58:41Z,Porte-avions,1.0,True,ZONE-002,Base navale de Norfolk,High,36.9,-76.3,MIL-010,Zone militaire 11 - Port militaire de Toulon,High,6747.776,False,"0.13783531405522018,0.0745256663314521,0.10181133716874283,0.08133840294823542",2026-12-12,15:58:41,"36.9,-76.3",USA,0.5m,Maxar,3,"Destroyer, Sous-marin, Porte-avions",22.5,https://example.com/satellite_images/satellite_016.jpg,0.13783531405522018,0.0745256663314521,0.10181133716874283,0.08133840294823542,0.008281171567329862,1.251700715509949,35,15,15,15,0
80,Haute,DET-090-00232,IMG-090,satellite_090.jpg,2026-08-16T00:20:55Z,Sous-marin,0.98,True,ZONE-002,Base navale de Norfolk,High,36.9,-76.3,MIL-010,Zone militaire 11 - Port militaire de Toulon,High,6747.776,False,"0.5743344570997965,0.21889462032697163,0.13280059863748403,0.23554651373303082",2026-08-16,00:20:55,"36.9,-76.3",USA,10m,PlanetScope,4,"Bâtiment de débarquement, Cargo, Corvette, Sous-marin",44.0,https://example.com/satellite_images/satellite_090.jpg,0.5743344570997965,0.21889462032697163,0.13280059863748403,0.23554651373303082,0.03128071803071884,0.5637977677224324,35,15,15,15,0
80,Haute,DET-096-00242,IMG-096,satellite_096.jpg,2026-03-13T20:51:40Z,Croiseur,0.97,True,ZONE-005,Base navale de Rota,High,36.6,-6.4,MIL-010,Zone militaire 11 - Port militaire de Toulon,High,1273.735,False,"0.700968714613206,0.17838683821458556,0.26663113946130074,0.13419633443185094",2026-03-13,20:51:40,"36.6,-6.4",Spain,5m,PlanetScope,1,Croiseur,35.9,https://example.com/satellite_images/satellite_096.jpg,0.700968714613206,0.17838683821458556,0.26663113946130074,0.13419633443185094,0.035780921561094206,1.9868734909201584,35,15,15,15,0
80,Haute,DET-001-00006,IMG-001,satellite_001.jpg,2026-04-17T04:54:56Z,Destroyer,0.94,True,ZONE-002,Base navale de Norfolk,High,36.9,-76.3,MIL-010,Zone militaire 11 - Port militaire de Toulon,High,6747.776,False,"0.5055362082682725,0.46515882941899167,0.23774061317578002,0.17542091261329637",2026-04-17,04:54:56,"36.9,-76.3",USA,10m,Maxar,2,"Destroyer, Navire de guerre",39.0,https://example.com/satellite_images/satellite_001.jpg,0.5055362082682725,0.46515882941899167,0.23774061317578002,0.17542091261329637,0.041704675328540004,1.3552581025493993,35,15,15,15,0
80,Haute,DET-039-00123,IMG-039,satellite_039.jpg,2026-02-25T09:12:06Z,Porte-avions,0.92,True,ZONE-005,Base navale de Rota,High,36.6,-6.4,MIL-010,Zone militaire 11 - Port militaire de Toulon,High,1273.735,False,"0.6178537018322465,0.504944920960193,0.20928096903925175,0.048421580615325276",2026-02-25,09:12:06,"36.6,-6.4",Spain,0.5m,Maxar,5,"Navire de soutien, Navire civil, Porte-avions, Cargo, Frégate",8.8,https://example.com/satellite_images/satellite_039.jpg,0.6178537018322465,0.504944920960193,0.20928096903925175,0.048421580615325276,0.010133715313587522,4.32205984149586,35,15,15,15,0
80,Haute,DET-052-00144,IMG-052,satellite_052.jpg,2026-02-17T10:50:44Z,Porte-avions,0.91,True,ZONE-002,Base navale de Norfolk,High,36.9,-76.3,MIL-010,Zone militaire 11 - Port militaire de Toulon,High,6747.776,False,"0.4690141741173817,0.4256619506304519,0.026143810886778023,0.07673599109969965",2026-02-17,10:50:44,"36.9,-76.3",USA,10m,PlanetScope,5,"Porte-avions, Corvette, Bâtiment de débarquement, Navire de guerre, Chalutier",24.3,https://example.com/satellite_images/satellite_052.jpg,0.4690141741173817,0.4256619506304519,0.026143810886778023,0.07673599109969965,0.0020061712395200294,0.3406981588705948,35,15,15,15,0
80,Haute,DET-000-00004,IMG-000,satellite_000.jpg,2026-08-31T17:17:58Z,Destroyer,0.89,True,ZONE-002,Base navale de Norfolk,High,36.9,-76.3,MIL-010,Zone militaire 11 - Port militaire de Toulon,High,6747.776,False,"0.6159782694606443,0.45954657746946426,0.2751740279853423,0.12683361651860597",2026-08-31,17:17:58,"36.9,-76.3",USA,1m,Sentinel-2,5,"Navire de guerre, Navire civil, Bâtiment de débarquement, Destroyer, Pétrolier",17.0,https://example.com/satellite_images/satellite_000.jpg,0.6159782694606443,0.45954657746946426,0.2751740279853423,0.12683361651860597,0.03490131714137305,2.1695669928719203,35,15,15,15,0
80,Haute,DET-016-00053,IMG-016,satellite_016.jpg,2026-12-12T15:58:41Z,Destroyer,0.89,True,ZONE-002,Base navale de Norfolk,High,36.9,-76.3,MIL-010,Zone militaire 11 - Port militaire de Toulon,High,6747.776,False,"0.7410407841211784,0.11931977744041262,0.2927885457940241,0.17163193345332634",2026-12-12,15:58:41,"36.9,-76.3",USA,0.5m,Maxar,3,"Destroyer, Sous-marin, Porte-avions",22.5,https://example.com/satellite_images/satellite_016.jpg,0.7410407841211784,0.11931977744041262,0.2927885457940241,0.17163193345332634,0.05025186420761613,1.7059095000735696,35,15,15,15,0
80,Haute,DET-023-00076,IMG-023,satellite_023.jpg,2026-09-10T21:46:50Z,Destroyer,0.85,True,ZONE-002,Base navale de Norfolk,High,36.9,-76.3,MIL-010,Zone militaire 11 - Port militaire de Toulon,High,6747.776,False,"0.37620273413233224,0.14542810872889547,0.2464363441104323,0.11309091044540251",2026-09-10,21:46:50,"36.9,-76.3",USA,5m,Maxar,2,"Croiseur, Destroyer",25.7,https://example.com/satellite_images/satellite_023.jpg,0.37620273413233224,0.14542810872889547,0.2464363441104323,0.11309091044540251,0.027869710522285297,2.1790994797004988,35,15,15,15,0
80,Haute,DET-032-00102,IMG-032,satellite_032.jpg,2026-02-09T05:22:46Z,Sous-marin,0.85,True,ZONE-002,Base navale de Norfolk,High,36.9,-76.3,MIL-010,Zone militaire 11 - Port militaire de Toulon,High,6747.776,False,"0.2404525841126021,0.7656661037224418,0.17697490902239413,0.26106307352656594",2026-02-09,05:22:46,"36.9,-76.3",USA,5m,Maxar,1,Sous-marin,11.8,https://example.com/satellite_images/satellite_032.jpg,0.2404525841126021,0.7656661037224418,0.17697490902239413,0.26106307352656594,0.0462016136864706,0.6779009632872688,35,15,15,15,0
75,Haute,DET-007-00027,IMG-007,satellite_007.jpg,2026-04-06T03:08:14Z,Destroyer,1.0,True,ZONE-003,Port de Shanghai,Medium,31.2,121.5,MIL-001,Zone militaire 2 - Port de Shanghai,Critical,0.0,True,"0.318279225025118,0.39739519192417483,0.041804848284949875,0.0327350216359925",2026-04-06,03:08:14,"31.2,121.5",China,5m,WorldView-3,5,"Croiseur, Navire de guerre, Chalutier, Pétrolier, Destroyer",21.1,https://example.com/satellite_images/satellite_007.jpg,0.318279225025118,0.39739519192417483,0.041804848284949875,0.0327350216359925,0.001368482613097218,1.2770679900509065,35,0,15,15,10
