detection_id,image_id,file_name,timestamp,bbox,category,confidence,is_military,zone_id,zone_name,risk_level
DET-000-00001,IMG-000,satellite_000.jpg,2026-08-31T17:17:58Z,"0.3766847153545144,0.602830810224785,0.2798675218303956,0.06677135003212305",Navire de guerre,0.84,True,ZONE-002,Base navale de Norfolk,High
DET-000-00002,IMG-000,satellite_000.jpg,2026-08-31T17:17:58Z,"0.6730405409693083,0.37685587994514613,0.29411363227785164,0.23601876857461268",Navire civil,0.72,False,ZONE-002,Base navale de Norfolk,High
DET-000-00003,IMG-000,satellite_000.jpg,2026-08-31T17:17:58Z,"0.3499607760017571,0.6063398574692226,0.2447065268620688,0.20174261872379287",Bâtiment de débarquement,0.96,False,ZONE-002,Base navale de Norfolk,High
DET-000-00004,IMG-000,satellite_000.jpg,2026-08-31T17:17:58Z,"0.6159782694606443,0.45954657746946426,0.2751740279853423,0.12683361651860597",Destroyer,0.89,True,ZONE-002,Base navale de Norfolk,High
DET-000-00005,IMG-000,satellite_000.jpg,2026-08-31T17:17:58Z,"0.7200515440830189,0.2160546184846373,0.13562516846762174,0.26083222366657327",Pétrolier,0.9,False,ZONE-002,Base navale de Norfolk,High
DET-001-00006,IMG-001,satellite_001.jpg,2026-04-17T04:54:56Z,"0.5055362082682725,0.46515882941899167,0.23774061317578002,0.17542091261329637",Destroyer,0.94,True,ZONE-002,Base navale de Norfolk,High
DET-001-00007,IMG-001,satellite_001.jpg,2026-04-17T04:54:56Z,"0.3411762211653643,0.6161236185669328,0.047216533236275934,0.15767573297863702",Navire de guerre,0.82,True,ZONE-002,Base navale de Norfolk,High
DET-002-00008,IMG-002,satellite_002.jpg,2026-03-02T15:20:53Z,"0.3570633336965961,0.16965770339366504,0.2623386580750606,0.2540788751004039",Navire de soutien,0.92,False,ZONE-009,Base navale de Yokosuka,High
DET-002-00009,IMG-002,satellite_002.jpg,2026-03-02T15:20:53Z,"0.5349294114832523,0.21950418726747145,0.2820321792049321,0.28068462845883985",Chalutier,0.77,False,ZONE-009,Base navale de Yokosuka,High
DET-002-00010,IMG-002,satellite_002.jpg,2026-03-02T15:20:53Z,"0.6151162601660949,0.381366338255073,0.270129129955423,0.19218565866986007",Porte-avions,0.78,True,ZONE-009,Base navale de Yokosuka,High
