detection_id,image_id,file_name,image_datetime,date_only,category,vessel_group,confidence,cloud_cover,adjusted_confidence,quality_score,quality_level,bbox,bbox_ratio,bbox_area_pct,bbox_inside_image,bbox_plausibility,classification_uncertainty_flag,zone_name,country,image_lat,image_lon,detection_risk_level,mil_risk_level,effective_risk_level,in_sensitive_military_zone,mil_zone_active,base_type,mil_density,nearest_sensitive_zone,nearest_sensitive_zone_distance_km,near_sensitive_zone_25km,same_image_detection_count,same_image_combat_count,same_image_civilian_count,same_zone_day_detection_count,same_zone_day_combat_count,same_zone_day_civilian_count,possible_co_presence_proxy,dense_activity_same_day,zone_observation_days,zone_observation_span_days,score_vessel,score_geo,score_context,score_confidence,score_anomaly,priority_score,alert_level,requires_human_review,review_reasons,scoring_version
DET-000-00001,IMG-000,satellite_000.jpg,2026-08-31 17:17:58+00:00,2026-08-31,Navire de guerre,combat,0.84,17.0,0.6971999999999999,77,Bonne,"0.3766847153545144,0.602830810224785,0.2798675218303956,0.06677135003212305",4.191431230546548,1.868713226276017,True,plausible,False,Base navale de Norfolk,USA,36.9,-76.3,High,,High,False,,,,Base navale de Rota,6076.454469459371,False,5,2,2,5,2,2,True,True,9,306,22,12,9,6,5,54,À examiner,False,navire de combat; zone à risque élevé; activité dense le même jour; co-présence potentielle à vérifier,v2.1-actionnable
DET-000-00002,IMG-000,satellite_000.jpg,2026-08-31 17:17:58+00:00,2026-08-31,Navire civil,civil,0.72,17.0,0.5975999999999999,70,Moyenne,"0.6730405409693083,0.37685587994514613,0.29411363227785164,0.23601876857461268",1.246145101315845,6.941633731122495,True,plausible,False,Base navale de Norfolk,USA,36.9,-76.3,High,,High,False,,,,Base navale de Rota,6076.454469459371,False,5,2,2,5,2,2,True,True,9,306,0,12,9,3,0,24,Veille,False,zone à risque élevé; activité dense le même jour; co-présence potentielle à vérifier,v2.1-actionnable
DET-000-00003,IMG-000,satellite_000.jpg,2026-08-31 17:17:58+00:00,2026-08-31,Bâtiment de débarquement,soutien_ou_amphibie,0.96,17.0,0.7968,84,Bonne,"0.3499607760017571,0.6063398574692226,0.2447065268620688,0.20174261872379287",1.2129639657205908,4.93677355479579,True,plausible,False,Base navale de Norfolk,USA,36.9,-76.3,High,,High,False,,,,Base navale de Rota,6076.454469459371,False,5,2,2,5,2,2,True,True,9,306,16,12,9,10,0,47,À examiner,False,navire de soutien/amphibie; zone à risque élevé; activité dense le même jour; co-présence potentielle à vérifier,v2.1-actionnable
DET-000-00004,IMG-000,satellite_000.jpg,2026-08-31 17:17:58+00:00,2026-08-31,Destroyer,combat_strategique,0.89,17.0,0.7387,80,Bonne,"0.6159782694606443,0.45954657746946426,0.2751740279853423,0.12683361651860597",2.1695669928719217,3.4901317141373034,True,plausible,False,Base navale de Norfolk,USA,36.9,-76.3,High,,High,False,,,,Base navale de Rota,6076.454469459371,False,5,2,2,5,2,2,True,True,9,306,30,12,9,6,5,62,Alerte analyste,True,navire de combat stratégique; zone à risque élevé; activité dense le même jour; co-présence potentielle à vérifier,v2.1-actionnable
DET-000-00005,IMG-000,satellite_000.jpg,2026-08-31 17:17:58+00:00,2026-08-31,Pétrolier,civil,0.9,17.0,0.747,80,Bonne,"0.7200515440830189,0.2160546184846373,0.13562516846762174,0.26083222366657327",0.5199709091197027,3.537541427656338,True,plausible,False,Base navale de Norfolk,USA,36.9,-76.3,High,,High,False,,,,Base navale de Rota,6076.454469459371,False,5,2,2,5,2,2,True,True,9,306,0,12,9,6,0,27,Veille,False,zone à risque élevé; activité dense le même jour; co-présence potentielle à vérifier,v2.1-actionnable
DET-001-00006,IMG-001,satellite_001.jpg,2026-04-17 04:54:56+00:00,2026-04-17,Destroyer,combat_strategique,0.94,39.0,0.5733999999999999,58,Moyenne,"0.5055362082682725,0.46515882941899167,0.23774061317578002,0.17542091261329637",1.3552581025493997,4.170467532853998,True,plausible,False,Base navale de Norfolk,USA,36.9,-76.3,High,,High,False,,,,Base navale de Rota,6076.454469459371,False,2,2,0,2,2,0,False,False,9,306,30,12,0,3,5,50,À examiner,False,navire de combat stratégique; zone à risque élevé,v2.1-actionnable
DET-001-00007,IMG-001,satellite_001.jpg,2026-04-17 04:54:56+00:00,2026-04-17,Navire de guerre,combat,0.82,39.0,0.5002,53,Moyenne,"0.3411762211653643,0.6161236185669328,0.047216533236275934,0.15767573297863702",0.2994533930130715,0.7444901486739978,True,plausible,False,Base navale de Norfolk,USA,36.9,-76.3,High,,High,False,,,,Base navale de Rota,6076.454469459371,False,2,2,0,2,2,0,False,False,9,306,22,12,0,3,5,42,À examiner,False,navire de combat; zone à risque élevé,v2.1-actionnable
DET-002-00008,IMG-002,satellite_002.jpg,2026-03-02 15:20:53+00:00,2026-03-02,Navire de soutien,soutien_ou_amphibie,0.92,25.6,0.68448,76,Bonne,"0.3570633336965961,0.16965770339366504,0.2623386580750606,0.2540788751004039",1.0325087356097304,6.665471113906089,True,plausible,False,Base navale de Yokosuka,Japan,35.4,139.7,High,,High,False,,,,Port de Busan,971.7284406546436,False,4,2,1,4,2,1,True,True,6,282,16,12,9,6,0,43,À examiner,False,navire de soutien/amphibie; zone à risque élevé; activité dense le même jour; co-présence potentielle à vérifier,v2.1-actionnable
DET-002-00009,IMG-002,satellite_002.jpg,2026-03-02 15:20:53+00:00,2026-03-02,Chalutier,civil,0.77,25.6,0.5728800000000001,68,Moyenne,"0.5349294114832523,0.21950418726747145,0.2820321792049321,0.28068462845883985",1.0048009424438074,7.916209743357329,True,plausible,False,Base navale de Yokosuka,Japan,35.4,139.7,High,,High,False,,,,Port de Busan,971.7284406546436,False,4,2,1,4,2,1,True,True,6,282,0,12,9,3,0,24,Veille,False,zone à risque élevé; activité dense le même jour; co-présence potentielle à vérifier,v2.1-actionnable
DET-002-00010,IMG-002,satellite_002.jpg,2026-03-02 15:20:53+00:00,2026-03-02,Porte-avions,combat_strategique,0.78,25.6,0.5803200000000001,66,Moyenne,"0.6151162601660949,0.381366338255073,0.270129129955423,0.19218565866986007",1.4055634110527242,5.191494476639917,True,a_verifier,True,Base navale de Yokosuka,Japan,35.4,139.7,High,,High,False,,,,Port de Busan,971.7284406546436,False,4,2,1,4,2,1,True,True,6,282,30,12,9,3,5,59,À examiner,True,navire de combat stratégique; zone à risque élevé; activité dense le même jour; co-présence potentielle à vérifier; classification/bbox à vérifier,v2.1-actionnable
