detection_id,image_id,file_name,image_datetime,date_only,category,vessel_group,confidence,cloud_cover,adjusted_confidence,quality_score,quality_level,bbox,bbox_ratio,bbox_area_pct,bbox_inside_image,bbox_plausibility,classification_uncertainty_flag,zone_name,country,image_lat,image_lon,detection_risk_level,mil_risk_level,effective_risk_level,in_sensitive_military_zone,mil_zone_active,base_type,mil_density,nearest_sensitive_zone,nearest_sensitive_zone_distance_km,near_sensitive_zone_25km,same_image_detection_count,same_image_combat_count,same_image_civilian_count,same_zone_day_detection_count,same_zone_day_combat_count,same_zone_day_civilian_count,possible_co_presence_proxy,dense_activity_same_day,zone_observation_days,zone_observation_span_days,score_vessel,score_geo,score_context,score_confidence,score_anomaly,priority_score,alert_level,requires_human_review,review_reasons,scoring_version
DET-007-00027,IMG-007,satellite_007.jpg,2026-04-06 03:08:14+00:00,2026-04-06,Destroyer,combat_strategique,1.0,21.1,0.7889999999999999,73,Moyenne,"0.318279225025118,0.39739519192417483,0.041804848284949875,0.0327350216359925",1.277067990050904,0.13684826130972155,True,plausible,False,Port de Shanghai,China,31.2,121.5,Medium,Critical,Critical,True,True,Base Sous-marine,5.0,Port de Shanghai,0.0,True,5,3,2,5,3,2,True,True,5,114,30,25,20,10,0,85,Revue prioritaire immédiate,True,navire de combat stratégique; zone critique; zone militaire/sensible connue; zone sensible active; base sous-marine; activité dense le même jour; co-présence potentielle à vérifier,v2.1-actionnable
DET-022-00073,IMG-022,satellite_022.jpg,2026-07-08 09:39:17+00:00,2026-07-08,Destroyer,combat_strategique,0.96,4.3,0.91872,82,Bonne,"0.007426039286338959,0.5754112996789076,0.2975595473921757,0.13431398070131034",2.2154026396842017,3.996640730592331,True,plausible,False,Détroit de Malacca,International,3.0,101.0,Critical,High,Critical,True,False,Base Sous-marine,1.0,Détroit de Malacca,0.0,True,4,2,2,4,2,2,True,True,11,347,30,22,16,15,0,83,Revue prioritaire immédiate,True,navire de combat stratégique; zone critique; zone militaire/sensible connue; base sous-marine; activité dense le même jour; co-présence potentielle à vérifier,v2.1-actionnable
DET-067-00182,IMG-067,satellite_067.jpg,2026-10-11 21:36:25+00:00,2026-10-11,Sous-marin,combat_strategique,0.92,15.5,0.7774,72,Moyenne,"0.5461343851518093,0.5809321295600124,0.2878815628479139,0.11397835973279102",2.52575632359352,3.281226833071761,True,plausible,False,Port militaire de Toulon,France,43.12,5.9,High,Critical,Critical,True,True,Base Navale,3.0,Port militaire de Toulon,7.208804852728273e-14,True,5,4,1,5,4,1,True,True,2,104,30,25,16,10,0,81,Revue prioritaire immédiate,True,navire de combat stratégique; zone critique; zone militaire/sensible connue; zone sensible active; activité dense le même jour; co-présence potentielle à vérifier,v2.1-actionnable
DET-007-00023,IMG-007,satellite_007.jpg,2026-04-06 03:08:14+00:00,2026-04-06,Croiseur,combat_strategique,0.87,21.1,0.68643,66,Moyenne,"0.5025456634904577,0.42157091518791534,0.277002177990542,0.2546876177928627",1.0876154105608218,7.054902483584568,True,plausible,False,Port de Shanghai,China,31.2,121.5,Medium,Critical,Critical,True,True,Base Sous-marine,5.0,Port de Shanghai,0.0,True,5,3,2,5,3,2,True,True,5,114,30,25,20,6,0,81,Revue prioritaire immédiate,True,navire de combat stratégique; zone critique; zone militaire/sensible connue; zone sensible active; base sous-marine; activité dense le même jour; co-présence potentielle à vérifier,v2.1-actionnable
DET-091-00236,IMG-091,satellite_091.jpg,2026-11-19 17:22:24+00:00,2026-11-19,Destroyer,combat_strategique,0.8,2.5,0.78,73,Moyenne,"0.6769883488430862,0.4679847348890591,0.20095165648028807,0.281479721430403",0.713911664609822,5.656381628704951,True,plausible,False,Détroit de Malacca,International,3.0,101.0,Critical,High,Critical,True,False,Base Sous-marine,1.0,Détroit de Malacca,0.0,True,4,1,2,4,1,2,True,True,11,347,30,22,16,10,0,78,Alerte analyste,True,navire de combat stratégique; zone critique; zone militaire/sensible connue; base sous-marine; activité dense le même jour; co-présence potentielle à vérifier,v2.1-actionnable
DET-034-00108,IMG-034,satellite_034.jpg,2026-06-24 03:02:12+00:00,2026-06-24,Sous-marin,combat_strategique,0.97,8.8,0.88464,77,Bonne,"0.5893621497798351,0.07395782608377299,0.225060247520035,0.16433212961701338",1.3695450064728822,3.6984629767099486,True,a_verifier,True,Mer de Chine Méridionale,International,15.0,110.0,Critical,,Critical,False,,,,Détroit de Malacca,1659.3897387122565,False,4,2,1,4,2,1,True,True,8,220,30,18,9,15,5,77,Alerte analyste,True,navire de combat stratégique; zone critique; activité dense le même jour; co-présence potentielle à vérifier; classification/bbox à vérifier,v2.1-actionnable
DET-067-00180,IMG-067,satellite_067.jpg,2026-10-11 21:36:25+00:00,2026-10-11,Destroyer,combat_strategique,0.73,15.5,0.61685,61,Moyenne,"0.39077223725352295,0.25145840646731843,0.2761631391664292,0.16386987833523228",1.685258706310114,4.525482001587855,True,plausible,False,Port militaire de Toulon,France,43.12,5.9,High,Critical,Critical,True,True,Base Navale,3.0,Port militaire de Toulon,7.208804852728273e-14,True,5,4,1,5,4,1,True,True,2,104,30,25,16,6,0,77,Alerte analyste,True,navire de combat stratégique; zone critique; zone militaire/sensible connue; zone sensible active; activité dense le même jour; co-présence potentielle à vérifier,v2.1-actionnable
DET-085-00218,IMG-085,satellite_085.jpg,2026-05-05 06:59:15+00:00,2026-05-05,Croiseur,combat_strategique,0.8,43.1,0.4552,50,Moyenne,"0.551325712351104,0.17576108810409902,0.09884571632063065,0.12777730654243724",0.7735780241055724,1.2630239394708005,True,plausible,False,Base navale de Pearl Harbor,USA,21.4,-157.9,High,Critical,Critical,True,True,Base Sous-marine,4.0,Base navale de Pearl Harbor,0.0,True,5,3,1,5,3,1,True,True,2,75,30,25,19,3,0,77,Alerte analyste,True,navire de combat stratégique; zone critique; zone militaire/sensible connue; zone sensible active; base sous-marine; activité dense le même jour; co-présence potentielle à vérifier,v2.1-actionnable
DET-031-00100,IMG-031,satellite_031.jpg,2026-09-19 00:02:21+00:00,2026-09-19,Frégate,combat,0.91,3.7,0.87633,91,Bonne,"0.552715645213397,0.3935809690705299,0.10854713671696754,0.1886939388548355",0.5752550260794232,2.0482186778538938,True,plausible,False,Détroit de Malacca,International,3.0,101.0,Critical,High,Critical,True,False,Base Sous-marine,1.0,Détroit de Malacca,0.0,True,5,2,3,5,2,3,True,True,11,347,22,22,16,15,0,75,Alerte analyste,True,navire de combat; zone critique; zone militaire/sensible connue; base sous-marine; activité dense le même jour; co-présence potentielle à vérifier,v2.1-actionnable
DET-006-00022,IMG-006,satellite_006.jpg,2026-01-04 02:10:50+00:00,2026-01-04,Porte-avions,combat_strategique,0.89,10.0,0.801,84,Bonne,"0.49920998507995606,0.034420613608061236,0.18821690254546522,0.08619328584968004",2.1836608349484794,1.6223033282842647,True,plausible,False,Détroit de Malacca,International,3.0,101.0,Critical,High,Critical,True,False,Base Sous-marine,1.0,Détroit de Malacca,0.0,True,4,3,0,4,3,0,False,True,11,347,30,22,12,10,0,74,Alerte analyste,True,navire de combat stratégique; zone critique; zone militaire/sensible connue; base sous-marine; activité dense le même jour,v2.1-actionnable
