zone_name,risk_level,detections,military_detections,avg_confidence,max_priority,avg_priority,latitude,longitude
Détroit d'Ormuz,Critical,10,6,0.842,110,79.7,25.0,56.0
Détroit de Malacca,Critical,38,22,0.8489473684210526,100,64.05263157894737,3.0,101.0
Mer de Chine Méridionale,Critical,30,14,0.8873333333333334,100,62.8,15.0,110.0
Golfe Persique,Critical,5,3,0.874,100,65.0,26.0,55.0
Base navale de Pearl Harbor,High,6,3,0.8183333333333334,93,60.666666666666664,21.4,-157.9
Base navale de Norfolk,High,26,18,0.8676923076923077,90,62.53846153846154,36.9,-76.3
Base navale de Rota,High,21,10,0.8385714285714285,90,47.333333333333336,36.6,-6.4
Port militaire de Toulon,High,10,7,0.8560000000000001,90,61.7,43.12,5.9
Port de Shanghai,Medium,18,6,0.8338888888888889,90,40.0,31.2,121.5
Base navale de Yokosuka,High,12,4,0.8733333333333334,83,42.0,35.4,139.7
Mer Baltique,Medium,26,16,0.855,80,45.03846153846154,55.0,20.0
Port de Busan,Medium,7,3,0.8614285714285713,80,39.714285714285715,35.1,129.0
Canal de Suez,Medium,1,1,0.86,80,80.0,30.0,32.5
Port de Rotterdam,Low,27,11,0.8611111111111112,75,30.51851851851852,51.9,4.5
Port de Singapour,Low,19,10,0.8368421052631579,75,37.421052631578945,1.3,103.8
